rep,L,closed,numeric,abs_diff,max_K_drop
116,4,14.17555409602576,14.17555409602576,0.0,1.8809398182191934
117,8,32.96959862636463,32.96959862636463,0.0,4.017420813256308
118,7,42.612128281905164,42.612128281905164,0.0,2.793338754114067
119,2,2.4613179979508653,2.4613179979508653,0.0,0.0
120,7,22.667060583101364,22.667060583101367,3.552713678800501e-15,6.332826214853844
121,9,9.65108831788456,9.65108831788456,0.0,5.0172628638739205
122,7,12.307515608975296,12.307515608975296,0.0,3.4596781032411656
123,8,16.145722951117627,16.145722951117627,0.0,3.0439739055702297
124,7,28.38863789391552,28.38863789391552,0.0,4.546853409095167
125,6,8.194114965526865,8.194114965526863,1.7763568394002505e-15,4.316669924562859
126,2,17.342000585606907,17.342000585606907,0.0,4.3234842780389595
127,8,16.451076810631992,16.451076810631992,0.0,4.914201767785677
128,8,57.11031460014886,57.11031460014886,0.0,2.9667074785658456
129,2,2.412475965112282,2.412475965112282,0.0,0.06706339270957917
130,4,17.063366516822384,17.063366516822384,0.0,2.114584581539037
131,10,15.88082180163553,15.88082180163553,0.0,4.518569996895787
132,4,40.93546184617559,40.93546184617559,0.0,4.990221638997918
133,9,6.709013059736084,6.709013059736084,0.0,5.264786705255119
134,8,11.205182601181098,11.205182601181097,1.7763568394002505e-15,7.053285290558491
135,8,10.451176205428398,10.451176205428398,0.0,6.3606420888091515
136,6,60.54106491771666,60.54106491771666,0.0,5.291265005374065
137,5,68.85511478343199,68.85511478343199,0.0,1.6778162515964574
138,3,15.251707713324528,15.251707713324528,0.0,3.6512912021611266
139,6,9.089227128722579,9.089227128722579,0.0,7.23454654810282
140,2,5.300518137376828,5.300518137376828,0.0,1.1336910546937515
141,3,5.41356133232277,5.41356133232277,0.0,2.096319841556603
142,3,7.895248325491645,7.895248325491645,0.0,0.0
143,6,18.31925940954203,18.31925940954203,0.0,4.856741570764623
144,5,18.389980064597154,18.389980064597154,0.0,4.807288798877597
145,6,26.386361087297264,26.386361087297264,0.0,2.2741390445973066
146,10,23.403283949755558,23.403283949755558,0.0,5.540407104476187
147,6,18.594709871457344,18.594709871457344,0.0,4.178815023130442
148,6,16.870297294370946,16.870297294370946,0.0,3.6616883602705297
149,9,8.714045834818151,8.714045834818151,0.0,3.2834314236137025
150,5,21.732113031550107,21.732113031550107,0.0,4.209318403709171
151,4,37.66148583484594,37.66148583484594,0.0,5.477820451642623
152,6,62.64612266899763,62.64612266899763,0.0,3.155686872959599
153,7,6.882284262260512,6.882284262260513,8.881784197001252e-16,5.474475204192933
154,4,17.278069351380868,17.278069351380868,0.0,2.8269353575574403
155,7,19.977139900969185,19.977139900969185,0.0,7.425027723813364
156,3,37.03551509380465,37.03551509380465,0.0,1.8640914417685943
157,10,43.64126493077773,43.64126493077773,0.0,4.099330520895968
158,7,6.178835828248902,6.178835828248902,0.0,2.642228033096708
159,5,11.928686349311722,11.928686349311722,0.0,4.225676222748049
160,8,36.79593904783314,36.79593904783314,0.0,4.287077420692645
161,6,9.224440882471937,9.224440882471937,0.0,4.516305186291406
162,2,66.34805465914692,66.34805465914692,0.0,0.0
163,9,40.43111603720512,40.43111603720512,0.0,7.674194232170524
164,2,17.674175356560077,17.674175356560077,0.0,0.0
165,3,23.781615298350484,23.781615298350484,0.0,5.627166165062933
166,9,8.63103803711411,8.631038037114111,1.7763568394002505e-15,3.939836465472108
167,6,15.97955355910404,15.97955355910404,0.0,4.403783758669331
